Year,Country,Total,Coal,Oil,Gas,Cement,Flaring,Other
1990,Australia,278.154156,141.879819,88.84209,34.454816,3.462872,7.272496,2.242063
1991,Australia,279.52851,146.08284,88.245572,32.786243,3.183033,7.001201,2.229622
1992,Australia,284.525345,150.051381,87.916828,33.970472,2.923411,7.303701,2.359551
1993,Australia,288.870537,150.098575,90.386578,35.670002,3.004698,7.136743,2.573941
1994,Australia,293.696553,151.376241,91.924087,37.032005,3.484276,6.880148,2.999795
1995,Australia,305.002996,155.718942,96.126544,39.830983,3.35775,7.060714,2.908064
1996,Australia,311.886129,160.375191,98.697016,39.765246,3.243616,6.761052,3.044008
1997,Australia,320.28263,167.670194,98.388038,41.074314,3.184589,6.687345,3.27815
1998,Australia,334.075978,177.596365,99.146315,43.488447,3.475413,6.901959,3.46748
1999,Australia,343.488633,183.215379,100.399487,45.548715,3.519991,7.165139,3.639921
2000,Australia,349.635487,185.781229,102.33736,46.593883,3.620856,7.952858,3.349301
2001,Australia,357.132367,190.066589,102.582541,49.310577,3.540903,8.172284,3.459474
2002,Australia,361.54081,191.13103,104.516285,50.573495,3.487738,8.007496,3.824767
2003,Australia,369.279512,195.370417,109.57068,49.701209,3.584016,7.157978,3.895211
2004,Australia,382.82089,202.20981,113.766232,52.51797,3.554645,6.85794,3.914293
2005,Australia,386.153533,200.699756,116.507794,54.476588,3.664127,6.914461,3.890808
2006,Australia,392.384302,204.384919,117.400366,55.810784,3.888062,7.046394,3.853779
2007,Australia,399.624803,203.543107,119.47387,61.048701,3.971547,7.504144,4.083434
2008,Australia,404.233067,204.671475,122.328074,61.786863,3.862908,7.482726,4.101021
2009,Australia,407.065015,206.050385,122.367287,63.113604,3.829017,7.966111,3.73861
2010,Australia,405.10332,200.536242,124.556501,64.263998,3.548615,8.189776,4.008189
2011,Australia,403.828773,192.124544,129.808187,66.479605,3.495532,7.874195,4.04671
2012,Australia,406.15091,189.138286,133.683994,67.705582,3.518237,8.286993,3.817817
2013,Australia,397.887458,176.346996,136.180923,69.647507,3.29442,8.846405,3.571207
2014,Australia,393.952876,168.130343,137.598529,71.808093,3.137567,9.272708,4.005636
2015,Australia,401.793062,174.188664,137.629374,72.044214,3.076156,10.827854,4.0268
2016,Australia,411.264288,179.549565,137.374951,75.054759,2.930855,12.439911,3.914247
